"","05J_C10_A10","05J_C10_A11","05J_C10_A2","05J_C10_A4","05J_C10_A5","05J_C10_A6","05J_C10_A7","05J_C10_A9","05J_C10_B1","05J_C10_B10","05J_C10_B11","05J_C10_B2","05J_C10_B3","05J_C10_B4","05J_C10_B5","05J_C10_B6","05J_C10_B9","05J_C10_C1","05J_C10_C11","05J_C10_C2","05J_C10_C8","05J_C10_D1","05J_C10_D11","05J_C10_D2","05J_C10_D3","05J_C10_D7","05J_C10_D8"
"Nifk",17.6130742669494,17.4461784455187,18.2904629453286,17.7333648941156,18.1834226452491,18.3712699396193,17.8871813345134,17.798978907838,18.1404132857366,17.6676703075378,17.6519201141316,18.1467038010659,18.0691927302123,18.5218854290898,18.8980447244012,17.3384415009857,17.702429085123,17.967862828548,17.4793939719273,18.6905994770756,18.0796287820223,17.4574783514141,18.5012472448641,17.8884836266198,17.7643065285683,18.2914815152771,18.2763155816026
"Nip7",15.3703026583538,15.1816678705632,15.5268892916733,15.2576465734133,15.479051467228,15.8109430497603,15.7981986060665,15.8096176869894,15.9216978593463,15.1023632746811,14.9353197431851,15.5810527331924,14.7425274086156,15.9777109454937,16.4272999554793,14.5549037945152,15.4407116754922,15.5721810647351,15.3330812400668,15.9009506410141,16.166230456795,14.5268819011777,15.4778988338459,15.5322528326715,15.3202167606708,15.9157025594402,16.1644519758835
"Nipsnap2",17.2278271862172,16.9730444908784,17.6642827647109,16.0333367944329,17.1141613959064,17.0462164683376,17.1441475634404,16.9561829749309,16.7111941196079,16.9257908872405,17.5515927872606,16.9787053677287,18.1653082120787,16.8076417823682,17.0068374509932,17.7633124195647,16.894862737104,16.2463552633407,16.4083151586543,17.1083351920239,16.8053798000334,17.0342278051984,16.8420064001794,16.4088456915733,17.4792699176069,17.5997457113332,16.9001983290398
"Nit2",17.0880149140507,16.5521609899119,15.1180441850484,16.8807983019488,15.4806406153554,15.8294817791826,16.2440966273177,15.6326074387505,16.4276293376845,16.4572488850175,15.2040122959072,14.9848042960854,15.6248270536608,14.8860389222807,14.9505317815206,17.0594894045454,16.5446743000199,15.3613797683042,15.9088729398818,15.6093888310138,15.8299832260845,16.0164273150634,15.7351365583425,16.5163148297837,15.8785003376607,15.0158793532906,15.158269443247
"Nln",18.9543905087441,17.9383256844689,17.4495563486207,17.4566194257918,17.6639401991572,17.5304391581481,17.5459099686379,18.0517416523592,17.0389294253957,17.8954738546651,18.7677150070685,17.7775540279603,17.6944498910274,17.3762365017097,17.3231517965616,18.1053249576089,17.5170525813915,17.6377381836349,17.8966390394922,15.9437788397921,17.8130651719985,17.8662330694953,17.4310181493113,17.7463920481306,17.2975644149306,17.7427791712369,18.5136778398746
"Nme1",20.8974481730832,20.7622714001322,21.2628397061794,21.1026058999392,21.0299838540799,21.2117410669335,21.1578964720046,20.9209056677315,21.0709971095447,20.5813236140546,20.8844651609189,21.1350774889335,21.1708892830992,20.5973015162468,21.1689040031159,20.645089361693,20.5497993320738,20.7601934582929,20.5830687234813,20.7287413368525,20.8864819700444,20.8999337017877,21.1726148844241,20.8691479178201,20.9244486810863,21.0026624519835,21.0481624618715
"Nme2",22.301475246539,22.7600881214114,22.4728096478201,22.8045188214151,22.5204408335779,22.2539097602616,22.9973195572584,22.6656066078522,22.5420398257117,22.3842771137684,22.6952085560088,22.6063657133204,22.7157723437216,22.2707065116437,22.1807742439055,22.6460010505865,22.50970456386,22.7382178044234,22.646579714579,22.1821737614417,22.321993885042,22.8904111270703,22.2115348503913,22.6698845224387,22.6468635583639,22.7662083563331,22.907753788753
"Nmral1",15.3767834215178,14.842094249102,15.0319748945301,16.3527713898634,15.6380596880995,16.066194151765,15.5162330606521,15.1152505873897,16.7351578997889,15.0773241957826,14.5561760565285,16.8361317177357,16.2265827839479,16.4122431999662,15.9309201457002,15.0584053008686,15.1333621463835,16.7433566969804,14.9293824346054,15.7066190068453,17.0338059703027,14.8112077769271,15.8416206082588,15.4050522808279,17.0274531492222,16.4438355616313,15.1095029292657
"Nmt1",19.2354158353459,19.2093598450713,19.6009792340843,18.7521124739331,19.4025798970382,19.3822030660068,19.2018846211169,19.4313733513006,19.5569422230934,18.5228238478003,19.6049550592201,19.2773738763716,19.2732899459054,19.6288373719494,19.3754977184741,19.1487108575621,19.1412583389823,19.2127882171221,18.8250564018241,18.5499167576594,18.6048327500951,19.1016584272118,19.4742715344317,19.5197434161406,19.6673414546066,19.1567926693839,19.0504301275311
"Nmt2",17.0060349027965,16.7267815835013,16.7605251623693,17.1023541209784,16.3540279214023,17.086048253876,16.5867052939521,16.8672016608085,17.3736059355052,16.8367659589881,16.6898926121824,16.9045603528654,16.5211739969178,16.8459850611126,17.6183063697959,16.6846394244223,16.8023450151303,17.2646962675523,16.8156372780002,16.8136486423149,17.4387296303617,16.8996262380639,17.3126293680382,15.9117164209965,16.8002172689986,16.559401505294,16.8377025792032
